Sensing Matrix,Sparsifying Matrix,Algorithm,Avg NMSE,Std NMSE,Avg PRD,Std PRD,Avg SNDR,Std SNDR,Avg Elapsed Time (s),Std Elapsed Time (s)
BPBD,DCT,BPD,0.029724398212213374,0.055918988470381376,13.250789691436202,11.030211307526748,20.06264608913912,6.5725091060901875,0.7053400867858541,0.42814677730247314
BPBD,DCT,BPDN,0.029724295081792286,0.055918014747779354,13.250781627533698,11.030174244177685,20.06264696352663,6.572505946375103,0.715848058261008,0.4450212670232458
BPBD,DCT,OMP_k10,0.14758917180647166,0.162135104873943,32.503598201989156,20.479870172435692,11.821590799778845,6.375531395632745,0.3236221919138245,0.15476203113884618
BPBD,DCT,OMP_k100,0.03137766117646279,0.0642865813724628,13.29007376801928,11.711370342240281,20.108320343533713,6.5552561061075965,2.9656665996367058,1.2525875934938384
BPBD,DCT,OMP_k120,0.02901727617508143,0.06265028218024714,12.545599684329344,11.523287498026901,20.75299094438655,6.713301852660273,4.014551659238682,1.6560804664448618
BPBD,DCT,OMP_k150,0.027277977246562533,0.061607446483646335,11.928811941413331,11.423160159638881,21.386543699534997,6.969832693801774,6.023608610973437,2.4612847623102247
BPBD,DCT,OMP_k180,0.026650192642116405,0.061300773287406476,11.680973368959622,11.404478941462322,21.677739519730903,7.123552555717438,8.496277524718533,3.4526006775647926
BPBD,DCT,OMP_k20,0.09154597577195424,0.11906789272994898,25.00015950041011,17.042996682325505,14.18631353847657,6.361619214710969,0.5614627961170526,0.28443690632422397
BPBD,DCT,OMP_k210,0.026473675148001193,0.06124770478554662,11.6048441229638,11.404810258139062,21.765168563099852,7.157882456765372,11.35230643032019,4.4709331729535515
BPBD,DCT,OMP_k30,0.06862562823642465,0.09897403283944461,21.275745554776744,15.284258142713268,15.647545237935033,6.3548793441912546,0.7887491409670669,0.39629303744718997
BPBD,DCT,OMP_k40,0.0560385163843452,0.08695717484184337,18.964822871000347,14.167883319830263,16.697673743658974,6.359446585418521,1.0334303904658972,0.4920184903887567
BPBD,DCT,OMP_k50,0.04801086438802627,0.07909827509443015,17.346669713312878,13.38689914043901,17.519949932237555,6.372536525407659,1.276097856048694,0.5800930726835144
BPBD,DCT,OMP_k60,0.04246006326554306,0.07377376117592083,16.13408486183891,12.817905429116275,18.194663100241666,6.388753524893984,1.5135178341492703,0.6670589176668736
BPBD,DCT,OMP_k80,0.03541677649952831,0.06745623543071647,14.419437409317526,12.09353581303139,19.272907683579422,6.446448380609847,2.162625726171972,0.9219569903563473
BPBD,IDCT,BPD,0.032295690050538804,0.05617858001717811,14.08749348720953,11.158160753336903,19.411003694100888,6.451434372626387,1.6135726481406287,1.0142471252182164
BPBD,IDCT,BPDN,0.03229569096481326,0.05617858097483794,14.087493635276825,11.158160976095607,19.411003646754256,6.451434415213093,1.628849771601673,0.9926078993573952
BPBD,Wavelet_db4_5L,CVXP_BP_IND_CLARABEL,0.02312058736842447,0.05136540132474488,11.09101153013644,10.401912785101787,21.828647261262965,6.636222515504087,3.1306682728838036,1.12882484832442
BPBD,Wavelet_db8_5L,BPD,0.035864546138015346,0.06763282769111541,14.632267201840454,12.022818571296451,19.09025777178257,6.390921578080265,0.7141044298611551,0.4460367249880311
BPBD,Wavelet_db8_5L,BPDN,0.03586487029499737,0.06763550262304922,14.632297502676664,12.022916506582733,19.0902518900394,6.390932357959394,0.7053134246618169,0.43991590093532823
BPBD,Wavelet_db8_5L,CVXP_BP_IND_CLARABEL,0.040665278882772465,0.08122604526880106,15.396414772400698,13.023447348024177,18.651917894478686,6.336135387532844,23.740550927066018,7.4674518983248515
Gaussian,DCT,BPD,0.05444331919439598,0.08221818086491772,19.0113502729087,13.528092400297597,16.47789543742343,6.0855766067903625,10.75578005814258,5.476099315051415
Gaussian,DCT,BPDN,0.05444016417323236,0.08220786528115646,19.010771931658848,13.5277390257049,16.478262197739372,6.085753262093491,10.797692230159853,6.237896420942435
SB_12,DCT,BPD,0.0612796792805786,0.08552368029721935,20.47998272862381,13.90593607285652,15.745157365893276,6.019094024803975,4.810984168817968,3.2133116560487522
SB_12,DCT,BPDN,0.06128434287773682,0.08553770382381927,20.480635057538244,13.906652187289852,15.744917086256587,6.019149482320929,4.91442306279155,4.4169920453187235
SB_16,DCT,BPD,0.05982896640927188,0.08470150374486438,20.18536915570361,13.814788814306834,15.878265057707948,6.013524957077043,5.487452643849722,3.6770007180267346
SB_16,DCT,BPDN,0.05982406084996086,0.08469047165580978,20.184671120052933,13.81403320030012,15.878540800176712,6.0135129339157825,5.524479713724474,3.7554365783540127
SB_20,DCT,BPD,0.058261338945394675,0.08339082676358628,19.901069042857927,13.65900868006697,16.00489670641489,6.0214082613725886,5.797926727548058,3.6739239756290654
SB_20,DCT,BPDN,0.058262424032086535,0.08339188059285588,19.90139211311648,13.658935167684314,16.004711199688845,6.0213794164361065,5.959316226680583,5.74496067394652
SB_24,DCT,BPD,0.05880858569771861,0.08404662274787703,19.975734350792184,13.750042709820764,15.991583950822474,6.051963819841331,6.57147737410824,5.976551360452237
SB_24,DCT,BPDN,0.05880954783564008,0.08403921545890371,19.97607571498634,13.749896640279083,15.991368383061772,6.051876432451951,6.337721521785721,4.07157191679059
SB_28,DCT,BPD,0.05734589103096629,0.08320673932174069,19.705020422839066,13.608038101351365,16.09122564169806,6.003214759425732,6.412010207441118,4.9184179212082295
SB_28,DCT,BPDN,0.05734220035064388,0.08319109443580264,19.70464000583461,13.607232832861367,16.091350838748742,6.003205230433846,6.491941079308467,5.743254130160156
SB_32,DCT,BPD,0.05703864954141412,0.08242667864824958,19.674047247118228,13.539789681092174,16.097571962432873,5.995832837885853,6.87129718006393,5.913443155951383
SB_32,DCT,BPDN,0.05704119811282866,0.08243205254810265,19.674374846379195,13.540254810257437,16.097433220680493,5.995794537435443,6.698584467422815,4.094483970819967
SB_36,DCT,BPD,0.05789881503915057,0.08415390964655654,19.77608964645997,13.707740925692812,16.078266296970448,6.032621469475584,6.9015987701965456,4.124585840241131
SB_36,DCT,BPDN,0.05789693667436473,0.08414902238007195,19.775845436893636,13.707408078241976,16.078332756465787,6.03253672672595,7.017075695451886,5.092707673048835
SB_40,DCT,BPD,0.05670094819787855,0.08309721461749263,19.534617622258573,13.616748018960363,16.198976820366557,6.0495100778017585,7.0848487520708465,4.109475383676203
SB_40,DCT,BPDN,0.05670361290159384,0.08311718254090393,19.53463552512219,13.617700806867086,16.199100250503992,6.049676741715105,7.184034452320617,5.10037866214594
SB_8,DCT,BPD,0.06468588716235629,0.08823224016790701,21.09873911932679,14.202477954104896,15.492981630693627,6.056632964496846,4.0827513611561965,4.19135416102725
SB_8,DCT,BPDN,0.06468803568254042,0.0882495712430821,21.098671090821174,14.203335413478547,15.493106663217727,6.05670605459628,3.937518865394985,2.7354965831010665
